number,user,restaurant_names,positions
100,buhaawsNr-41s2rdT3dJ5Q,"Rwzp59f3Ia-v2V8Ku0zZWQ, _HMiq7vSET4uhNScBdOJnw, I1wArJIYbFl2txUL6unC6A, JMU8OV7YI_gCrifxb3-wuw, MuaIn9h_YOAmZxHxtQXAAw, ntZbvL1jbr6Cj_mP6K14Lw, BYwoAKKtdSeylSN7QV8oNw, 7LFdimtQU3yrgiKyE53klQ, JHi4LCxdbpXthg98sQiicQ, 5-48HYUc7HWv6NKfMAPHKQ","599, 615, 907, 607, 953, 862, 950, 745, 23, 544"
101,3A5qOhQOj2zHWMYgWtkkGQ,"I1wArJIYbFl2txUL6unC6A, EGoCGAhJMivxr_C7H0hoKw, mnaTW8Wm0ESJXf4qqDtS9A, NbQH02mMYJ4r1RqvG2FDBA, kLi8I3QjruV-YUoauy9n_A, _HMiq7vSET4uhNScBdOJnw, bjL1PC2e9dvjBVewmoXYwQ, 3vr42-TF3V31LrN5sAFbDQ, sxQdEEfKRviWRymOoH9UiA, 6LgTc7CZlXCd1Pxq3BiVcw","907, 560, 861, 872, 8, 615, 524, 699, 945, 681"
102,wyNQqEbMfOgXr5rIfVr9Rg,"hfP5UJGaCQBEaBx-uabkDA, bjL1PC2e9dvjBVewmoXYwQ, CdAmgWWCabZQoYNNWOKcEw, mnaTW8Wm0ESJXf4qqDtS9A, g_oK5K039p7OVy43FSg-ug, tz8VEeIOoM5Cu1NSnC2JIQ, pKNDz1tzC5llbengNUz_7w, MqdAYfl1p_c1144i48k6jw, lnC_BiucMb6YJjm392nwAQ, fY1IkBnRft1KR0O2tqu7pg","577, 524, 664, 861, 949, 846, 66, 207, 843, 914"
103,lShwcacIvs5i2MYsQHPzMQ,"cEX4Cw8q2ftBrbpCvInf0w, UGidvGF4aXsl7aVvPLmO4Q, CTYFfHq1SWFyCeJ-KyIgOQ, ZhJ59SFPifQiTW0gAddfGw, vVqxGrqt5ALxQjJGnntpKQ, I1wArJIYbFl2txUL6unC6A, Ipyhbgl-qjiDZ6qGSHvEag, 6LgTc7CZlXCd1Pxq3BiVcw, lnC_BiucMb6YJjm392nwAQ, Rl318hUrGlkPJhMmNNZizQ","446, 677, 425, 694, 167, 907, 91, 681, 843, 82"
104,Ww-VExe53555lkzZAauCGQ,"ahlZC7XOKN-XJ7P4sPZrRg, 7LFdimtQU3yrgiKyE53klQ, vVqxGrqt5ALxQjJGnntpKQ, LFknVw6uTIaL-MY_RqkN7g, x44o1_Dw4QsQZRtBJgwZaA, Rwzp59f3Ia-v2V8Ku0zZWQ, lycfBKtcR7keDQQOeMMsoA, T7ekp7FiffoWDq53hbZDhg, UPRFpMsB4I64GRjUqjRmiw, NbQH02mMYJ4r1RqvG2FDBA","937, 745, 167, 707, 39, 599, 930, 123, 879, 872"
105,spcWkD16-UyUCdeyePYQCA,"fY1IkBnRft1KR0O2tqu7pg, NbQH02mMYJ4r1RqvG2FDBA, at7wfECnjgIJi5o7gL8fyQ, Rwzp59f3Ia-v2V8Ku0zZWQ, OuU88_AEU5lo-t_XQpTyKg, 2qw1-Q_sVbo9QHWDlmznsw, ZhJ59SFPifQiTW0gAddfGw, 3vr42-TF3V31LrN5sAFbDQ, QNnQ3W1gDQtG1C-LVmedKA, U3i7AaegudvpmDL23_wEmQ","914, 872, 612, 599, 491, 500, 694, 699, 931, 928"
106,N7mseQyyeKdl57CEld0liw,"mnaTW8Wm0ESJXf4qqDtS9A, 6LgTc7CZlXCd1Pxq3BiVcw, i5dxKKLe2kJ8WbPUXilPGg, ZhJ59SFPifQiTW0gAddfGw, CdAmgWWCabZQoYNNWOKcEw, QxT3goSTkSGWqq4ecId_AQ, tRPHSd0ow1hsqMRxyMePeg, qs6gA9Y5sRzpXnm_4QaP0Q, ahlZC7XOKN-XJ7P4sPZrRg, J9rMt_V1NX49rU3YUjh_7Q","861, 681, 527, 694, 664, 878, 116, 127, 937, 758"
107,9qH59jbkeu8NxL1DamklHg,"Lv5GFFciSK532QIX2ZLqjg, 71aipxvzUEEAd245w61o7A, mnaTW8Wm0ESJXf4qqDtS9A, x0Pk5Uvy0y63FSzcfmxRpQ, fY1IkBnRft1KR0O2tqu7pg, J9rMt_V1NX49rU3YUjh_7Q, ar1-XkhICdqJDJUwCluz-g, 5RFNZZvtfF9uHVSUeYwzbQ, Ipyhbgl-qjiDZ6qGSHvEag, lJ5YkS5fxC8dcSK4FPtyYQ","164, 951, 861, 682, 914, 758, 553, 89, 91, 551"
108,WqMa1BLU2sgt16wnK1CblA,"LFknVw6uTIaL-MY_RqkN7g, 7LFdimtQU3yrgiKyE53klQ, ib_206uhcdzV7lNcCpniXA, 6LgTc7CZlXCd1Pxq3BiVcw, YkVRDcEa7vZK65u-tlL9tQ, Rwzp59f3Ia-v2V8Ku0zZWQ, vVqxGrqt5ALxQjJGnntpKQ, x44o1_Dw4QsQZRtBJgwZaA, ZhJ59SFPifQiTW0gAddfGw, ahlZC7XOKN-XJ7P4sPZrRg","707, 745, 656, 681, 373, 599, 167, 39, 694, 937"
109,MS54OoXe9O5O05JYQm2rBA,"uQu5DtnXZZ8XVfBKldKnag, Lv5GFFciSK532QIX2ZLqjg, OuU88_AEU5lo-t_XQpTyKg, Xr0TPGySu_02UQQ1GufRxg, 1FW7ZzIuIoRnTz_z8uznzA, I1wArJIYbFl2txUL6unC6A, 2FLfIQ9u3PJKg2iLhkl91A, ZhJ59SFPifQiTW0gAddfGw, 1nw-_Bm8sivTBZ7Z-uiVCA, Yp3CLIf55i9sY7tVAO6a3Q","178, 164, 491, 405, 409, 907, 902, 694, 889, 464"
110,PSiioYMqJ1r0On_RijpQaA,"_HMiq7vSET4uhNScBdOJnw, J9rMt_V1NX49rU3YUjh_7Q, T434Tkz_mnF74J-55Z7PKA, MqdAYfl1p_c1144i48k6jw, nUxW8GUPL4aDOKzWahs3lA, hSEGyy0-i1_ZXGIRySbgcg, ofSFeTi7PLWucCO9FqPREw, LFknVw6uTIaL-MY_RqkN7g, JzjxQh-XLNKNsUvrg8qdSQ, pJWufKPuAuRFUyky_LeUMg","615, 758, 152, 207, 340, 710, 348, 707, 94, 461"
111,9lkdbd_YX03kIY39WFS1ng,"WdgQzBYDtTgcLahHvtiokA, bjL1PC2e9dvjBVewmoXYwQ, _HMiq7vSET4uhNScBdOJnw, BYwoAKKtdSeylSN7QV8oNw, tDGDMePyQvBBn416-1SEMA, EGoCGAhJMivxr_C7H0hoKw, Rwzp59f3Ia-v2V8Ku0zZWQ, LFknVw6uTIaL-MY_RqkN7g, 2JFWJDNeLZN3dbTXs8kNMQ, I1wArJIYbFl2txUL6unC6A","212, 524, 615, 950, 395, 560, 599, 707, 439, 907"
112,BcsJIPPBET8lJLQXR20t9w,"bjL1PC2e9dvjBVewmoXYwQ, I1wArJIYbFl2txUL6unC6A, ib_206uhcdzV7lNcCpniXA, 3FgE99Li6EI2yTF5md0Z0g, J9rMt_V1NX49rU3YUjh_7Q, xD3L3JhNxsAfQikOHWHa4w, uQu5DtnXZZ8XVfBKldKnag, i5dxKKLe2kJ8WbPUXilPGg, sxQdEEfKRviWRymOoH9UiA, K_dDUqteskTr9mO84iJ9iQ","524, 907, 656, 355, 758, 351, 178, 527, 945, 46"
113,Fsl7fnXttgugpoyuCJ0zkg,"Bf5g9rQo8G1e_4Eu4diZJQ, mlnucLO7hYxKoH77FEHh2g, MqdAYfl1p_c1144i48k6jw, VWLfePKMEj7g2P77RvRDuA, eawsC19ruMWUv0FsPMR3QA, 5P4bmTgLgsn35kT0m5uqCA, ib_206uhcdzV7lNcCpniXA, BYwoAKKtdSeylSN7QV8oNw, g_oK5K039p7OVy43FSg-ug, OGIf_bb_QFY7hbYy4AlT0g","774, 974, 207, 330, 956, 189, 656, 950, 949, 31"
114,iVwVq297778VCSDazsLEKg,"gPmD_yz_3DK6q8gmCfjpOA, fY1IkBnRft1KR0O2tqu7pg, LPtMf4KcWYD_T6vI8kA34A, Lv5GFFciSK532QIX2ZLqjg, 4l9M9C96HW6JpwrQPJGMNQ, cEX4Cw8q2ftBrbpCvInf0w, Pv0P0vYFIOlMPPfn18Wc7Q, WFtN3VJ4Tft0hQHl6NZaAA, lTB86C4tjxzpGLlvYgBRbA, 71aipxvzUEEAd245w61o7A","528, 914, 732, 164, 108, 446, 349, 697, 549, 951"
115,0nOIH8qIMnmZdLCTemnRsw,"CdAmgWWCabZQoYNNWOKcEw, J9rMt_V1NX49rU3YUjh_7Q, 7LFdimtQU3yrgiKyE53klQ, 3hxwHzQ432UL3rQAWJG5TA, _HMiq7vSET4uhNScBdOJnw, WFtN3VJ4Tft0hQHl6NZaAA, ahlZC7XOKN-XJ7P4sPZrRg, mnaTW8Wm0ESJXf4qqDtS9A, Yp3CLIf55i9sY7tVAO6a3Q, hSEGyy0-i1_ZXGIRySbgcg","664, 758, 745, 787, 615, 697, 937, 861, 464, 710"
116,leLFG88-47YklIbOY9E9Sg,"BYwoAKKtdSeylSN7QV8oNw, Rwzp59f3Ia-v2V8Ku0zZWQ, txwpCDw5Utu9WbM0VtYJqg, avrJOt2Kzk7fUpe4D4_DAQ, aInEEp6EpKuUpoRz8_UuFg, lycfBKtcR7keDQQOeMMsoA, vZiWYH4XIiy3fqPNy615Kg, meUD8jqkG4uy0ERdqcZI6g, MvdRWrf33EkVW-2dzTuNyg, EGoCGAhJMivxr_C7H0hoKw","950, 599, 505, 342, 64, 930, 443, 558, 26, 560"
117,0rFbt0d33MTX6qQo-4YmSA,"5LMkTnMXOxlce_LwUNhpCQ, iyDqgTt373VERoXjQNXuHg, NRrWbjN1X1X7Z1z_u5bFKQ, NKkh6R7i2DQbUtyd5IdG_A, zo92mzQ7NBlazYi1F0KHMw, tjvZmMQDlTcgqYBNqEZNPg, GGMka0ITgk7w_YUHUo8gqg, 0UVlw30JrYGl79rT0XIEmw, I1wArJIYbFl2txUL6unC6A, oU3_206vSPP5H58CidKxWQ","829, 205, 303, 138, 584, 76, 259, 322, 907, 165"
118,2Kq0rEgkla7UX0Q3dqQBJA,"ymAw53bQVppVV7T40fNgRw, i5dxKKLe2kJ8WbPUXilPGg, bjL1PC2e9dvjBVewmoXYwQ, UPRFpMsB4I64GRjUqjRmiw, uQu5DtnXZZ8XVfBKldKnag, vVqxGrqt5ALxQjJGnntpKQ, Rwzp59f3Ia-v2V8Ku0zZWQ, d3vB2tlgTEapMU_kGiXRoQ, NbQH02mMYJ4r1RqvG2FDBA, _7nMWBmfFvk9S3tKG3Ip_g","219, 527, 524, 879, 178, 167, 599, 594, 872, 141"
119,BNgs67ayYRDqdmrYNREnsg,"_7nMWBmfFvk9S3tKG3Ip_g, J9rMt_V1NX49rU3YUjh_7Q, Ku333V1F3_9MVKUJ72_ZBw, GGMka0ITgk7w_YUHUo8gqg, ymAw53bQVppVV7T40fNgRw, TzKx4KbFOzLX0v7F31cSpw, cEX4Cw8q2ftBrbpCvInf0w, -U4BnQL4VC3dkRDUZL0i8Q, 9R5laAm5Kv4aBLVtH1gVnA, 7LFdimtQU3yrgiKyE53klQ","141, 758, 795, 259, 219, 153, 446, 812, 575, 745"
120,DhLkzLT23zK7uFUP5MtP3Q,"OuU88_AEU5lo-t_XQpTyKg, H1pzpBdffm4NUbBRP8KLDA, 71aipxvzUEEAd245w61o7A, ADtSvzL_abKwWPM1EL2yJw, r4fKOExeR6lvb6C-YFsv0Q, bjL1PC2e9dvjBVewmoXYwQ, Lv5GFFciSK532QIX2ZLqjg, J9rMt_V1NX49rU3YUjh_7Q, fY1IkBnRft1KR0O2tqu7pg, U3i7AaegudvpmDL23_wEmQ","491, 529, 951, 410, 840, 524, 164, 758, 914, 928"
121,DvcAC_nlKaTDsHcA8Slagw,"vVqxGrqt5ALxQjJGnntpKQ, jLcBOqa-UT6qugFgZqjNvA, 3n_2L-oqqw6noFKsb3qmeg, _HMiq7vSET4uhNScBdOJnw, V6ZbbgJMenh5XCQ1H4hrYw, 7LFdimtQU3yrgiKyE53klQ, tq03doSUN1Hpd2zmNAMRCQ, rAy5tizRpmTpZBg_0aTlKg, txwpCDw5Utu9WbM0VtYJqg, Rwzp59f3Ia-v2V8Ku0zZWQ","167, 84, 136, 615, 344, 745, 876, 545, 505, 599"
122,Q_xp4HJSPvyv7AOnetmjfw,"fY1IkBnRft1KR0O2tqu7pg, CVAUcmvMu6voGtA1aQdG_Q, 6LgTc7CZlXCd1Pxq3BiVcw, I1wArJIYbFl2txUL6unC6A, _HMiq7vSET4uhNScBdOJnw, OExxlOVjUIDh3TFjPzbSDA, k3pHAEdDGC2tqHlrqXql4Q, lJ5YkS5fxC8dcSK4FPtyYQ, YPbSFZSoIMuGu2LD6WPllQ, lycfBKtcR7keDQQOeMMsoA","914, 936, 681, 907, 615, 226, 151, 551, 156, 930"
123,Cdf3Rf4WD-iTEQYIzSZ_AQ,"cEX4Cw8q2ftBrbpCvInf0w, LFknVw6uTIaL-MY_RqkN7g, lycfBKtcR7keDQQOeMMsoA, CfFGKTJ1RgdTYpY0fj1E5w, _HMiq7vSET4uhNScBdOJnw, Rwzp59f3Ia-v2V8Ku0zZWQ, BYwoAKKtdSeylSN7QV8oNw, ZSpfF89JnQN6fiS8OhBlZQ, sxQdEEfKRviWRymOoH9UiA, rz8khUD2Amv1lBoIiwpEWw","446, 707, 930, 767, 615, 599, 950, 589, 945, 782"
124,8ndGgI6Fhgm1kWvMdOzp_Q,"_HMiq7vSET4uhNScBdOJnw, 4xrZmZJGrLY2kHL2ylM1uQ, ukt4MFLf8IpsI420CJCMkA, n5vQCdHfl2Dm7r4l5FW8Cw, bjL1PC2e9dvjBVewmoXYwQ, ul_m-XnIMAmddgqOpv5-aQ, uQu5DtnXZZ8XVfBKldKnag, NRrWbjN1X1X7Z1z_u5bFKQ, ofSFeTi7PLWucCO9FqPREw, CHSOxwAtWXl4I2kvBT-sng","615, 227, 510, 333, 524, 813, 178, 303, 348, 851"
125,pbFIcKknRHjLj1aKi6WAhg,"7LFdimtQU3yrgiKyE53klQ, kA5pZz-koXIlPaDJALDroQ, J3ijSN86u_Pg42BZjkDM_g, fqhahiKsc6gPs5Sx4mf9Vg, at7wfECnjgIJi5o7gL8fyQ, _7nMWBmfFvk9S3tKG3Ip_g, Rl318hUrGlkPJhMmNNZizQ, Rwzp59f3Ia-v2V8Ku0zZWQ, vVqxGrqt5ALxQjJGnntpKQ, LFknVw6uTIaL-MY_RqkN7g","745, 466, 343, 918, 612, 141, 82, 599, 167, 707"
126,4aKBSZVBUSq1nfTrOHlAvQ,"WFtN3VJ4Tft0hQHl6NZaAA, MvdRWrf33EkVW-2dzTuNyg, xpHn6SAJ3xqJGgzZTASrSg, CTYFfHq1SWFyCeJ-KyIgOQ, ADtSvzL_abKwWPM1EL2yJw, NbQH02mMYJ4r1RqvG2FDBA, uQu5DtnXZZ8XVfBKldKnag, pKNDz1tzC5llbengNUz_7w, U3i7AaegudvpmDL23_wEmQ, IC15vAUX4EiMlWxxMehohw","697, 26, 338, 425, 410, 872, 178, 66, 928, 329"
127,sby-fi2OMMU51PEHXInHKQ,"dFYfZsc-SUwRpDEgJiIoXA, NbQH02mMYJ4r1RqvG2FDBA, BYwoAKKtdSeylSN7QV8oNw, 9R5laAm5Kv4aBLVtH1gVnA, rXhvV-YyZaJLjgOnz7_jkA, sxQdEEfKRviWRymOoH9UiA, XLa3iW4hkLyImtZAx61lSg, 2qw1-Q_sVbo9QHWDlmznsw, kA5pZz-koXIlPaDJALDroQ, Yp3CLIf55i9sY7tVAO6a3Q","381, 872, 950, 575, 568, 945, 520, 500, 466, 464"
128,O4sAznBNs3wrHaePq55S0w,"uQu5DtnXZZ8XVfBKldKnag, wVwShEOsjRyN4W6CXduAlQ, DHtvncPCxHKnuMgobG4inw, 6LgTc7CZlXCd1Pxq3BiVcw, Rl318hUrGlkPJhMmNNZizQ, lJ5YkS5fxC8dcSK4FPtyYQ, ZhJ59SFPifQiTW0gAddfGw, wewwmXWSMK7l8KdomAMSpA, KPrdWch1680ihzVe3C-s3w, hinGqQYvot8HtRYxSdr6FA","178, 155, 900, 681, 82, 551, 694, 563, 670, 99"
129,OmUOyRV3sC1mG_yxKHXV8g,"pJWufKPuAuRFUyky_LeUMg, XLa3iW4hkLyImtZAx61lSg, BYwoAKKtdSeylSN7QV8oNw, tRPHSd0ow1hsqMRxyMePeg, U3i7AaegudvpmDL23_wEmQ, Rwzp59f3Ia-v2V8Ku0zZWQ, ko4q1Oj4iWvYSxoamlcEgw, EqdAzi9c5xuhxN9brmEaZw, hinGqQYvot8HtRYxSdr6FA, _HMiq7vSET4uhNScBdOJnw","461, 520, 950, 116, 928, 599, 698, 225, 99, 615"
130,XPFP9OVQFKqFg2E0YYK_FQ,"ZhJ59SFPifQiTW0gAddfGw, 7gpa5X8YUlebQH7NiNkHbg, DHtvncPCxHKnuMgobG4inw, NbNk81ze4wftHA9hoXik7A, r1W_Co451x1A1GCMkukMNw, OuU88_AEU5lo-t_XQpTyKg, -WRbjOIgvQQ3jlJnvKUBNA, 6LgTc7CZlXCd1Pxq3BiVcw, UGidvGF4aXsl7aVvPLmO4Q, zV9vGjToUEEUXim9lgSQnQ","694, 835, 900, 103, 421, 491, 283, 681, 677, 673"
131,S5ja_V3Igio4nZDxDH7TJA,"ib_206uhcdzV7lNcCpniXA, pKrcWHvmxT2pIAhInIUj3w, ZSpfF89JnQN6fiS8OhBlZQ, EECw-s6Jy-fyJHhkUGQhHg, xD3L3JhNxsAfQikOHWHa4w, _HMiq7vSET4uhNScBdOJnw, BfGgttAzEPx9v7b8Sgkedw, Z9oNUI_dlEKjhEWuG-hxPA, U3i7AaegudvpmDL23_wEmQ, x0Pk5Uvy0y63FSzcfmxRpQ","656, 244, 589, 642, 351, 615, 195, 364, 928, 682"
132,03RJcIDcNwH4WQmqjIvwIw,"vZiWYH4XIiy3fqPNy615Kg, XuxzGu2PEr59drHseZOVCg, U3i7AaegudvpmDL23_wEmQ, hSEGyy0-i1_ZXGIRySbgcg, pKNDz1tzC5llbengNUz_7w, NRrWbjN1X1X7Z1z_u5bFKQ, Po0Qb6X_g8b00OggqtATRA, NbQH02mMYJ4r1RqvG2FDBA, fY1IkBnRft1KR0O2tqu7pg, YiwgRnxp091jA6z98a71GQ","443, 618, 928, 710, 66, 303, 377, 872, 914, 328"
133,reui1h17m_2_7NcCS-w_Cw,"vVqxGrqt5ALxQjJGnntpKQ, _7nMWBmfFvk9S3tKG3Ip_g, -U4BnQL4VC3dkRDUZL0i8Q, 0UVlw30JrYGl79rT0XIEmw, J9rMt_V1NX49rU3YUjh_7Q, fY1IkBnRft1KR0O2tqu7pg, UPRFpMsB4I64GRjUqjRmiw, 9R5laAm5Kv4aBLVtH1gVnA, YzYNEpi9JU34yJRqCxb9ag, 5RFNZZvtfF9uHVSUeYwzbQ","167, 141, 812, 322, 758, 914, 879, 575, 665, 89"
134,-0D44Oa5eolEFmaIM4MbWA,"_HMiq7vSET4uhNScBdOJnw, 7LFdimtQU3yrgiKyE53klQ, LFknVw6uTIaL-MY_RqkN7g, VEy3-SnvsKgWfGM_b2irbA, x44o1_Dw4QsQZRtBJgwZaA, txwpCDw5Utu9WbM0VtYJqg, Rwzp59f3Ia-v2V8Ku0zZWQ, 3vr42-TF3V31LrN5sAFbDQ, xD3L3JhNxsAfQikOHWHa4w, sxQdEEfKRviWRymOoH9UiA","615, 745, 707, 417, 39, 505, 599, 699, 351, 945"
135,WaxgrE1Uawl2Tqs_CbAHLQ,"i5dxKKLe2kJ8WbPUXilPGg, U3i7AaegudvpmDL23_wEmQ, J9rMt_V1NX49rU3YUjh_7Q, at7wfECnjgIJi5o7gL8fyQ, B2DP74wutAbAs1kjKvvipg, ahlZC7XOKN-XJ7P4sPZrRg, DbvK2HkM-wxbEQxlmczAlQ, pvgfvEwMJmtWkKBjEkGonQ, Rl318hUrGlkPJhMmNNZizQ, SNO_rcpzRL8b2EB9QuntTQ","527, 928, 758, 612, 290, 937, 841, 935, 82, 783"
136,Lya-IFg6T-vNpNp1kRFQjw,"-WRbjOIgvQQ3jlJnvKUBNA, NbQH02mMYJ4r1RqvG2FDBA, U3i7AaegudvpmDL23_wEmQ, Pv0P0vYFIOlMPPfn18Wc7Q, fY1IkBnRft1KR0O2tqu7pg, UPRFpMsB4I64GRjUqjRmiw, 7LFdimtQU3yrgiKyE53klQ, ZhJ59SFPifQiTW0gAddfGw, CdAmgWWCabZQoYNNWOKcEw, MqdAYfl1p_c1144i48k6jw","283, 872, 928, 349, 914, 879, 745, 694, 664, 207"
137,frthTngbBHgSdk4j85HmEQ,"_HMiq7vSET4uhNScBdOJnw, kA5pZz-koXIlPaDJALDroQ, VEy3-SnvsKgWfGM_b2irbA, vZiWYH4XIiy3fqPNy615Kg, dFYfZsc-SUwRpDEgJiIoXA, t4Ep18Iylp0bOAgsCxZpOw, x44o1_Dw4QsQZRtBJgwZaA, LFknVw6uTIaL-MY_RqkN7g, OExxlOVjUIDh3TFjPzbSDA, MPzZuWpKpeLBa833zzL9IQ","615, 466, 417, 443, 381, 927, 39, 707, 226, 488"
138,C64vnYvvV1pXLJn0MJ_IJw,"XAMUaVFO2y5Vf1Uz_rYA1Q, EJNkmXMDWurCPjOZe_WXAg, xD3L3JhNxsAfQikOHWHa4w, 7LFdimtQU3yrgiKyE53klQ, _HMiq7vSET4uhNScBdOJnw, BYwoAKKtdSeylSN7QV8oNw, 5RFNZZvtfF9uHVSUeYwzbQ, WlT8rU9YYRjGSG-gX_hnCg, x44o1_Dw4QsQZRtBJgwZaA, rAy5tizRpmTpZBg_0aTlKg","95, 613, 351, 745, 615, 950, 89, 392, 39, 545"
139,W6w9AZKCKBo9m8iPr2hQyg,"lE9qVePgvolkhw6C3Cdkeg, _HMiq7vSET4uhNScBdOJnw, Rwzp59f3Ia-v2V8Ku0zZWQ, fZ0-lttPgjycJi9oYs_uag, P-X4kr5pDqXzhPEfa6RsTQ, 7LFdimtQU3yrgiKyE53klQ, XuxzGu2PEr59drHseZOVCg, BYwoAKKtdSeylSN7QV8oNw, 9R5laAm5Kv4aBLVtH1gVnA, J1ROdxjb_A27axMgigweEg","309, 615, 599, 616, 241, 745, 618, 950, 575, 948"
140,2lwizmnZ8INb-6nDpgE0Kg,"7LFdimtQU3yrgiKyE53klQ, ko4q1Oj4iWvYSxoamlcEgw, LFknVw6uTIaL-MY_RqkN7g, ib_206uhcdzV7lNcCpniXA, T7ekp7FiffoWDq53hbZDhg, NbQH02mMYJ4r1RqvG2FDBA, JHi4LCxdbpXthg98sQiicQ, ZhJ59SFPifQiTW0gAddfGw, YkVRDcEa7vZK65u-tlL9tQ, kA5pZz-koXIlPaDJALDroQ","745, 698, 707, 656, 123, 872, 23, 694, 373, 466"
141,L_jIXFcx9ivqUAZqWnulyQ,"eNuJkqMjbGRbY-T01JsTXA, 4l9M9C96HW6JpwrQPJGMNQ, 4ZOXsBhHx2EzrTwACILK2A, n2CnBRKK82cWZ9a2OjS2xQ, mnaTW8Wm0ESJXf4qqDtS9A, zo92mzQ7NBlazYi1F0KHMw, bjL1PC2e9dvjBVewmoXYwQ, vZiWYH4XIiy3fqPNy615Kg, IUY-BllJGubN2vugqV7Fwg, o1_iIC0rU2yuF3SZvf6IjA","541, 108, 644, 828, 861, 584, 524, 443, 435, 888"
142,0TKbsw2xVBBV8gk4UwTsQg,"0UVlw30JrYGl79rT0XIEmw, 5RFNZZvtfF9uHVSUeYwzbQ, M3L6py5NM0_WjIT7410M0Q, hSEGyy0-i1_ZXGIRySbgcg, BYwoAKKtdSeylSN7QV8oNw, x0Pk5Uvy0y63FSzcfmxRpQ, PiHPVBDkXTXaJtrrnJt9QQ, J9rMt_V1NX49rU3YUjh_7Q, r4fKOExeR6lvb6C-YFsv0Q, bc2_XcmozFE5XhNzPSdrzQ","322, 89, 720, 710, 950, 682, 574, 758, 840, 363"
143,cwZ64E_XT92XesWkQh85YQ,"Rl318hUrGlkPJhMmNNZizQ, vVqxGrqt5ALxQjJGnntpKQ, lycfBKtcR7keDQQOeMMsoA, 6LgTc7CZlXCd1Pxq3BiVcw, 5LMkTnMXOxlce_LwUNhpCQ, VEy3-SnvsKgWfGM_b2irbA, 71aipxvzUEEAd245w61o7A, MuaIn9h_YOAmZxHxtQXAAw, cEX4Cw8q2ftBrbpCvInf0w, Yrf16fjGs2rUir4slN9i2g","82, 167, 930, 681, 829, 417, 951, 953, 446, 848"
144,BIkivGwMblK3_r2N0pSE8A,"x44o1_Dw4QsQZRtBJgwZaA, 0W5UWAcjwGuCJOv8rXGMqw, I1wArJIYbFl2txUL6unC6A, lE9qVePgvolkhw6C3Cdkeg, JHi4LCxdbpXthg98sQiicQ, uQu5DtnXZZ8XVfBKldKnag, XLa3iW4hkLyImtZAx61lSg, Yp3CLIf55i9sY7tVAO6a3Q, OExxlOVjUIDh3TFjPzbSDA, J9rMt_V1NX49rU3YUjh_7Q","39, 647, 907, 309, 23, 178, 520, 464, 226, 758"
145,x7ykv2z_d0aIawhvEraRuQ,"_HMiq7vSET4uhNScBdOJnw, T7ekp7FiffoWDq53hbZDhg, 2JFWJDNeLZN3dbTXs8kNMQ, vZiWYH4XIiy3fqPNy615Kg, sxQdEEfKRviWRymOoH9UiA, pvgfvEwMJmtWkKBjEkGonQ, tz8VEeIOoM5Cu1NSnC2JIQ, ib_206uhcdzV7lNcCpniXA, tDGDMePyQvBBn416-1SEMA, t4Ep18Iylp0bOAgsCxZpOw","615, 123, 439, 443, 945, 935, 846, 656, 395, 927"
146,e6Q9Km6Ve4B9lSRkL75M3w,"BYwoAKKtdSeylSN7QV8oNw, sxQdEEfKRviWRymOoH9UiA, YzYNEpi9JU34yJRqCxb9ag, J9rMt_V1NX49rU3YUjh_7Q, QxT3goSTkSGWqq4ecId_AQ, qi9XyrpSlIKlERKn9Kj_VA, meUD8jqkG4uy0ERdqcZI6g, EGoCGAhJMivxr_C7H0hoKw, 6LgTc7CZlXCd1Pxq3BiVcw, NbQH02mMYJ4r1RqvG2FDBA","950, 945, 665, 758, 878, 693, 558, 560, 681, 872"
147,EcBIMqc1zZTY_X0Y0Kq1sg,"U3i7AaegudvpmDL23_wEmQ, ZhJ59SFPifQiTW0gAddfGw, LFknVw6uTIaL-MY_RqkN7g, CdAmgWWCabZQoYNNWOKcEw, Rl318hUrGlkPJhMmNNZizQ, aFiCaAyKxBB6PI3hyV3cRQ, 2JFWJDNeLZN3dbTXs8kNMQ, Lv5GFFciSK532QIX2ZLqjg, J9rMt_V1NX49rU3YUjh_7Q, Ku333V1F3_9MVKUJ72_ZBw","928, 694, 707, 664, 82, 13, 439, 164, 758, 795"
148,rjLuqTeEFE3TQo9IHyCr3Q,"7LFdimtQU3yrgiKyE53klQ, ib_206uhcdzV7lNcCpniXA, ko4q1Oj4iWvYSxoamlcEgw, LFknVw6uTIaL-MY_RqkN7g, BYwoAKKtdSeylSN7QV8oNw, QxT3goSTkSGWqq4ecId_AQ, t88UJ1i5c2HxbWQTV440mg, SKEiwxu1AyACBupxC0IRBA, BeZMzvfxRWy-oqA_bX8xog, Rwzp59f3Ia-v2V8Ku0zZWQ","745, 656, 698, 707, 950, 878, 266, 737, 715, 599"
149,aEUGzkqPWS3SjghraZ5nMw,"sxQdEEfKRviWRymOoH9UiA, Zztv1vtQ2AjOSUc_12-2pQ, Rwzp59f3Ia-v2V8Ku0zZWQ, ymAw53bQVppVV7T40fNgRw, -WRbjOIgvQQ3jlJnvKUBNA, 2JFWJDNeLZN3dbTXs8kNMQ, NbQH02mMYJ4r1RqvG2FDBA, KX5KY8fLlMoJMS1NAj0Pvw, 0UVlw30JrYGl79rT0XIEmw, QxT3goSTkSGWqq4ecId_AQ","945, 433, 599, 219, 283, 439, 872, 388, 322, 878"
